id,title,description,complete,creation_date
61,Cocinar la cena,Compra los artículos de la lista,True,2024-04-07 18:52:25
62,Pagar las facturas,Enviar un correo electrónico sobre el proyecto,True,2024-04-28 18:52:25
63,Llamar al médico,Pagar las facturas de servicios públicos,False,2023-09-12 18:52:25
64,Enviar correo a Juan,Preparar una cena saludable,False,2023-08-02 18:52:25
65,Estudiar Angular,Llevar el coche al taller para revisión,True,2023-12-28 18:52:25
66,Hacer ejercicio,Preparar una cena saludable,False,2023-08-31 18:52:25
67,Hacer ejercicio,Compra los artículos de la lista,False,2023-08-06 18:52:25
68,Enviar correo a Juan,Pagar las facturas de servicios públicos,True,2023-07-01 18:52:25
69,Limpiar la casa,Preparar una cena saludable,True,2023-10-02 18:52:25
70,Revisar el coche,Revisar las últimas actualizaciones de Angular,True,2023-09-12 18:52:25
71,Hacer ejercicio,Programa una cita para el chequeo anual,False,2023-08-28 18:52:25
72,Llamar al médico,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2023-09-13 18:52:25
73,Ir al supermercado,Enviar un correo electrónico sobre el proyecto,True,2024-05-16 18:52:25
74,Limpiar la casa,Llevar el coche al taller para revisión,True,2023-12-07 18:52:25
75,Llamar al médico,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-02-01 18:52:25
76,Cocinar la cena,"Limpiar la sala, cocina y baño",False,2024-01-17 18:52:25
77,Ir al supermercado,"Limpiar la sala, cocina y baño",True,2024-06-07 18:52:25
78,Limpiar la casa,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-04-21 18:52:25
79,Llamar al médico,Revisar las últimas actualizaciones de Angular,False,2024-02-01 18:52:25
80,Hacer ejercicio,Llevar el coche al taller para revisión,False,2023-06-22 18:52:25
81,Estudiar Angular,Pagar las facturas de servicios públicos,False,2023-09-04 18:52:25
82,Cocinar la cena,Revisar las últimas actualizaciones de Angular,False,2023-07-24 18:52:25
83,Leer un libro,"Limpiar la sala, cocina y baño",True,2023-07-15 18:52:25
84,Leer un libro,Llevar el coche al taller para revisión,True,2023-08-23 18:52:25
85,Limpiar la casa,Revisar las últimas actualizaciones de Angular,False,2024-03-31 18:52:25
86,Pagar las facturas,Llevar el coche al taller para revisión,True,2023-08-03 18:52:25
87,Pagar las facturas,Leer al menos un capítulo del libro,False,2024-05-20 18:52:25
88,Pagar las facturas,Pagar las facturas de servicios públicos,True,2024-03-07 18:52:25
89,Limpiar la casa,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2023-12-24 18:52:25
90,Estudiar Angular,Programa una cita para el chequeo anual,False,2023-12-03 18:52:25
91,Leer un libro,"Limpiar la sala, cocina y baño",True,2023-08-17 18:52:25
92,Pagar las facturas,Programa una cita para el chequeo anual,False,2023-09-15 18:52:25
93,Estudiar Angular,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-04-03 18:52:25
94,Llamar al médico,Leer al menos un capítulo del libro,True,2023-08-02 18:52:25
95,Leer un libro,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2023-08-31 18:52:25
96,Limpiar la casa,Llevar el coche al taller para revisión,False,2023-09-18 18:52:25
97,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-05-19 18:52:25
98,Revisar el coche,Preparar una cena saludable,True,2024-04-30 18:52:25
99,Revisar el coche,"Limpiar la sala, cocina y baño",False,2024-04-29 18:52:25
100,Enviar correo a Juan,Leer al menos un capítulo del libro,True,2024-01-31 18:52:25
101,Limpiar la casa,"Limpiar la sala, cocina y baño",False,2024-01-14 18:52:25
102,Revisar el coche,Compra los artículos de la lista,True,2024-01-20 18:52:25
103,Llamar al médico,Programa una cita para el chequeo anual,True,2023-10-31 18:52:25
104,Ir al supermercado,Llevar el coche al taller para revisión,True,2023-10-02 18:52:25
105,Hacer ejercicio,Preparar una cena saludable,True,2023-08-15 18:52:25
106,Enviar correo a Juan,"Limpiar la sala, cocina y baño",True,2023-11-19 18:52:25
107,Ir al supermercado,Programa una cita para el chequeo anual,True,2023-07-24 18:52:25
108,Leer un libro,"Limpiar la sala, cocina y baño",False,2024-02-17 18:52:25
109,Llamar al médico,Llevar el coche al taller para revisión,False,2023-11-05 18:52:25
110,Limpiar la casa,Enviar un correo electrónico sobre el proyecto,False,2023-12-04 18:52:25
111,Leer un libro,Revisar las últimas actualizaciones de Angular,True,2023-09-20 18:52:25
112,Enviar correo a Juan,Leer al menos un capítulo del libro,True,2024-05-26 18:52:25
113,Hacer ejercicio,Revisar las últimas actualizaciones de Angular,False,2023-12-16 18:52:25
114,Pagar las facturas,Pagar las facturas de servicios públicos,True,2024-02-03 18:52:25
115,Leer un libro,Programa una cita para el chequeo anual,False,2023-08-03 18:52:25
116,Cocinar la cena,Leer al menos un capítulo del libro,True,2024-03-26 18:52:25
117,Ir al supermercado,Revisar las últimas actualizaciones de Angular,False,2023-06-15 18:52:25
118,Leer un libro,Compra los artículos de la lista,False,2023-11-20 18:52:25
119,Ir al supermercado,Compra los artículos de la lista,True,2023-08-13 18:52:25
120,Llamar al médico,"Limpiar la sala, cocina y baño",False,2024-03-07 18:52:25
121,Hacer ejercicio,"Limpiar la sala, cocina y baño",False,2023-08-16 18:52:25
122,Enviar correo a Juan,Programa una cita para el chequeo anual,True,2024-05-23 18:52:25
123,Cocinar la cena,Llevar el coche al taller para revisión,True,2023-08-17 18:52:25
124,Leer un libro,Revisar las últimas actualizaciones de Angular,False,2023-07-27 18:52:25
125,Pagar las facturas,Revisar las últimas actualizaciones de Angular,True,2024-04-13 18:52:25
126,Leer un libro,Enviar un correo electrónico sobre el proyecto,False,2023-11-08 18:52:25
127,Ir al supermercado,Programa una cita para el chequeo anual,True,2024-06-03 18:52:25
128,Hacer ejercicio,Preparar una cena saludable,True,2023-06-27 18:52:25
129,Cocinar la cena,Pagar las facturas de servicios públicos,True,2023-11-07 18:52:25
130,Cocinar la cena,Compra los artículos de la lista,True,2023-08-10 18:52:25
131,Limpiar la casa,Programa una cita para el chequeo anual,False,2023-08-02 18:52:25
132,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-04-23 18:52:25
133,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-08-21 18:52:25
134,Leer un libro,Pagar las facturas de servicios públicos,False,2023-07-25 18:52:25
135,Hacer ejercicio,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-02-20 18:52:25
136,Limpiar la casa,Preparar una cena saludable,True,2024-04-25 18:52:25
137,Enviar correo a Juan,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-04-01 18:52:25
138,Ir al supermercado,"Limpiar la sala, cocina y baño",True,2024-04-14 18:52:25
139,Llamar al médico,Pagar las facturas de servicios públicos,False,2024-03-11 18:52:25
140,Cocinar la cena,Programa una cita para el chequeo anual,True,2023-09-11 18:52:25
141,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-10-17 18:52:25
142,Limpiar la casa,Enviar un correo electrónico sobre el proyecto,True,2023-09-12 18:52:25
143,Llamar al médico,Leer al menos un capítulo del libro,True,2024-01-22 18:52:25
144,Cocinar la cena,Compra los artículos de la lista,True,2024-04-11 18:52:25
145,Hacer ejercicio,Llevar el coche al taller para revisión,False,2024-05-14 18:52:25
146,Leer un libro,Revisar las últimas actualizaciones de Angular,False,2023-12-25 18:52:25
147,Estudiar Angular,Llevar el coche al taller para revisión,True,2024-01-16 18:52:25
148,Leer un libro,Enviar un correo electrónico sobre el proyecto,False,2023-09-24 18:52:25
149,Llamar al médico,Revisar las últimas actualizaciones de Angular,False,2023-08-08 18:52:25
150,Enviar correo a Juan,"Limpiar la sala, cocina y baño",True,2023-07-29 18:52:25
151,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,False,2024-02-19 18:52:25
152,Revisar el coche,Enviar un correo electrónico sobre el proyecto,False,2024-05-14 18:52:25
153,Limpiar la casa,Revisar las últimas actualizaciones de Angular,True,2024-03-08 18:52:25
154,Ir al supermercado,"Limpiar la sala, cocina y baño",True,2023-07-31 18:52:25
155,Limpiar la casa,Leer al menos un capítulo del libro,False,2023-12-16 18:52:25
156,Enviar correo a Juan,"Limpiar la sala, cocina y baño",False,2023-07-04 18:52:25
157,Enviar correo a Juan,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2023-12-31 18:52:25
158,Limpiar la casa,Enviar un correo electrónico sobre el proyecto,True,2024-01-06 18:52:25
159,Revisar el coche,Leer al menos un capítulo del libro,True,2023-07-30 18:52:25
160,Limpiar la casa,"Limpiar la sala, cocina y baño",False,2024-03-02 18:52:25
161,Leer un libro,"Limpiar la sala, cocina y baño",True,2023-06-29 18:52:25
162,Llamar al médico,Llevar el coche al taller para revisión,False,2024-01-19 18:52:25
163,Llamar al médico,Enviar un correo electrónico sobre el proyecto,False,2023-06-24 18:52:25
164,Hacer ejercicio,Programa una cita para el chequeo anual,True,2023-11-10 18:52:25
165,Ir al supermercado,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-09-09 18:52:25
166,Cocinar la cena,Programa una cita para el chequeo anual,True,2023-07-24 18:52:25
167,Pagar las facturas,Leer al menos un capítulo del libro,True,2024-05-03 18:52:25
168,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,False,2024-03-20 18:52:25
169,Llamar al médico,Leer al menos un capítulo del libro,True,2024-04-22 18:52:25
170,Estudiar Angular,Compra los artículos de la lista,False,2024-04-05 18:52:25
171,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-05-03 18:52:25
172,Leer un libro,Enviar un correo electrónico sobre el proyecto,False,2023-12-31 18:52:25
173,Revisar el coche,Revisar las últimas actualizaciones de Angular,True,2023-11-06 18:52:25
174,Revisar el coche,Preparar una cena saludable,False,2023-08-06 18:52:25
175,Cocinar la cena,Compra los artículos de la lista,False,2024-02-25 18:52:25
176,Estudiar Angular,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-05-07 18:52:25
177,Llamar al médico,Llevar el coche al taller para revisión,True,2023-11-04 18:52:25
178,Ir al supermercado,Enviar un correo electrónico sobre el proyecto,True,2023-06-27 18:52:25
179,Leer un libro,Enviar un correo electrónico sobre el proyecto,False,2023-08-11 18:52:25
180,Revisar el coche,Pagar las facturas de servicios públicos,True,2023-08-25 18:52:25
181,Leer un libro,Programa una cita para el chequeo anual,False,2023-07-08 18:52:25
182,Leer un libro,Programa una cita para el chequeo anual,False,2024-02-23 18:52:25
183,Leer un libro,Pagar las facturas de servicios públicos,True,2023-08-10 18:52:25
184,Cocinar la cena,Preparar una cena saludable,True,2023-11-02 18:52:25
185,Revisar el coche,Programa una cita para el chequeo anual,False,2024-03-23 18:52:25
186,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,True,2024-04-21 18:52:25
187,Pagar las facturas,Leer al menos un capítulo del libro,False,2024-01-26 18:52:25
188,Llamar al médico,Preparar una cena saludable,True,2024-03-15 18:52:25
189,Revisar el coche,Llevar el coche al taller para revisión,True,2023-08-31 18:52:25
190,Enviar correo a Juan,Preparar una cena saludable,True,2023-10-13 18:52:25
191,Llamar al médico,Compra los artículos de la lista,True,2023-09-22 18:52:25
192,Pagar las facturas,Programa una cita para el chequeo anual,False,2024-05-08 18:52:25
193,Llamar al médico,Leer al menos un capítulo del libro,False,2023-08-23 18:52:25
194,Hacer ejercicio,Leer al menos un capítulo del libro,True,2024-02-04 18:52:25
195,Hacer ejercicio,Compra los artículos de la lista,False,2024-04-16 18:52:25
196,Hacer ejercicio,Preparar una cena saludable,True,2024-03-22 18:52:25
197,Cocinar la cena,Programa una cita para el chequeo anual,True,2024-01-03 18:52:25
198,Llamar al médico,"Limpiar la sala, cocina y baño",True,2024-01-09 18:52:25
199,Ir al supermercado,Enviar un correo electrónico sobre el proyecto,True,2023-12-03 18:52:25
200,Enviar correo a Juan,Llevar el coche al taller para revisión,False,2023-09-29 18:52:25
201,Limpiar la casa,Revisar las últimas actualizaciones de Angular,False,2024-05-08 18:52:25
202,Hacer ejercicio,Compra los artículos de la lista,False,2023-11-09 18:52:25
203,Ir al supermercado,Leer al menos un capítulo del libro,False,2023-12-09 18:52:25
204,Estudiar Angular,Pagar las facturas de servicios públicos,True,2023-07-30 18:52:25
205,Llamar al médico,Programa una cita para el chequeo anual,False,2023-12-07 18:52:25
206,Pagar las facturas,Enviar un correo electrónico sobre el proyecto,True,2023-12-18 18:52:25
207,Hacer ejercicio,Preparar una cena saludable,False,2023-10-05 18:52:25
208,Revisar el coche,Compra los artículos de la lista,True,2024-03-12 18:52:25
209,Cocinar la cena,Pagar las facturas de servicios públicos,True,2024-02-22 18:52:25
210,Ir al supermercado,Leer al menos un capítulo del libro,False,2023-06-20 18:52:25
211,Revisar el coche,Preparar una cena saludable,False,2023-09-13 18:52:25
212,Revisar el coche,Programa una cita para el chequeo anual,True,2023-10-06 18:52:25
213,Llamar al médico,Leer al menos un capítulo del libro,True,2024-05-07 18:52:25
214,Llamar al médico,Revisar las últimas actualizaciones de Angular,True,2024-03-15 18:52:25
215,Llamar al médico,Leer al menos un capítulo del libro,False,2023-06-16 18:52:25
216,Pagar las facturas,Leer al menos un capítulo del libro,True,2023-08-04 18:52:25
217,Ir al supermercado,Compra los artículos de la lista,True,2024-04-18 18:52:25
218,Pagar las facturas,Llevar el coche al taller para revisión,False,2023-08-04 18:52:25
219,Cocinar la cena,Revisar las últimas actualizaciones de Angular,True,2023-07-02 18:52:25
220,Limpiar la casa,Preparar una cena saludable,False,2024-01-08 18:52:25
221,Revisar el coche,Enviar un correo electrónico sobre el proyecto,True,2023-10-03 18:52:25
222,Estudiar Angular,Preparar una cena saludable,False,2023-09-13 18:52:25
223,Revisar el coche,Revisar las últimas actualizaciones de Angular,False,2023-08-25 18:52:25
224,Leer un libro,"Limpiar la sala, cocina y baño",False,2023-08-04 18:52:25
225,Leer un libro,Leer al menos un capítulo del libro,False,2024-05-17 18:52:25
226,Pagar las facturas,Llevar el coche al taller para revisión,True,2024-06-07 18:52:25
227,Limpiar la casa,Revisar las últimas actualizaciones de Angular,False,2023-07-22 18:52:25
228,Leer un libro,"Limpiar la sala, cocina y baño",True,2023-12-12 18:52:25
229,Estudiar Angular,Revisar las últimas actualizaciones de Angular,False,2024-05-30 18:52:25
230,Leer un libro,Revisar las últimas actualizaciones de Angular,False,2023-11-24 18:52:25
231,Revisar el coche,Enviar un correo electrónico sobre el proyecto,False,2024-02-27 18:52:25
232,Revisar el coche,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2023-06-23 18:52:25
233,Estudiar Angular,Llevar el coche al taller para revisión,False,2023-06-15 18:52:25
234,Leer un libro,"Limpiar la sala, cocina y baño",False,2024-02-21 18:52:25
235,Enviar correo a Juan,Pagar las facturas de servicios públicos,False,2024-02-11 18:52:25
236,Cocinar la cena,Revisar las últimas actualizaciones de Angular,False,2023-10-31 18:52:25
237,Leer un libro,Programa una cita para el chequeo anual,False,2023-07-30 18:52:25
238,Pagar las facturas,Enviar un correo electrónico sobre el proyecto,False,2023-12-17 18:52:25
239,Limpiar la casa,Enviar un correo electrónico sobre el proyecto,True,2023-10-10 18:52:25
240,Enviar correo a Juan,Revisar las últimas actualizaciones de Angular,True,2024-02-07 18:52:25
241,Pagar las facturas,Revisar las últimas actualizaciones de Angular,True,2023-09-02 18:52:25
242,Enviar correo a Juan,Leer al menos un capítulo del libro,True,2023-09-22 18:52:25
243,Llamar al médico,Preparar una cena saludable,False,2024-01-25 18:52:25
244,Revisar el coche,Compra los artículos de la lista,False,2023-07-19 18:52:25
245,Limpiar la casa,"Limpiar la sala, cocina y baño",True,2023-12-10 18:52:25
246,Hacer ejercicio,Revisar las últimas actualizaciones de Angular,True,2023-08-11 18:52:25
247,Revisar el coche,"Limpiar la sala, cocina y baño",False,2023-11-01 18:52:25
248,Estudiar Angular,Compra los artículos de la lista,True,2023-12-03 18:52:25
249,Enviar correo a Juan,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2024-04-16 18:52:25
250,Leer un libro,Programa una cita para el chequeo anual,False,2023-08-22 18:52:25
251,Ir al supermercado,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-06-19 18:52:25
252,Enviar correo a Juan,Llevar el coche al taller para revisión,False,2024-03-18 18:52:25
253,Cocinar la cena,Enviar un correo electrónico sobre el proyecto,True,2024-06-02 18:52:25
254,Cocinar la cena,Revisar las últimas actualizaciones de Angular,True,2023-11-04 18:52:25
255,Limpiar la casa,Revisar las últimas actualizaciones de Angular,True,2023-12-19 18:52:25
256,Cocinar la cena,Programa una cita para el chequeo anual,False,2023-08-18 18:52:25
257,Limpiar la casa,Enviar un correo electrónico sobre el proyecto,True,2023-10-17 18:52:25
258,Revisar el coche,Programa una cita para el chequeo anual,False,2024-02-03 18:52:25
259,Estudiar Angular,Pagar las facturas de servicios públicos,False,2024-04-16 18:52:25
260,Limpiar la casa,"Limpiar la sala, cocina y baño",False,2023-08-19 18:52:25
261,Hacer ejercicio,Leer al menos un capítulo del libro,True,2023-07-30 18:52:25
262,Limpiar la casa,Revisar las últimas actualizaciones de Angular,True,2023-07-15 18:52:25
263,Cocinar la cena,Llevar el coche al taller para revisión,True,2024-02-29 18:52:25
264,Leer un libro,Compra los artículos de la lista,True,2023-08-10 18:52:25
265,Ir al supermercado,Enviar un correo electrónico sobre el proyecto,False,2024-06-05 18:52:25
266,Leer un libro,Enviar un correo electrónico sobre el proyecto,False,2024-06-10 18:52:25
267,Llamar al médico,Enviar un correo electrónico sobre el proyecto,True,2023-09-16 18:52:25
268,Ir al supermercado,Compra los artículos de la lista,False,2023-09-26 18:52:25
269,Limpiar la casa,Revisar las últimas actualizaciones de Angular,False,2023-10-19 18:52:25
270,Pagar las facturas,Revisar las últimas actualizaciones de Angular,False,2023-08-03 18:52:25
271,Limpiar la casa,Programa una cita para el chequeo anual,True,2024-05-13 18:52:25
272,Leer un libro,Revisar las últimas actualizaciones de Angular,True,2024-02-24 18:52:25
273,Llamar al médico,Leer al menos un capítulo del libro,False,2024-02-14 18:52:25
274,Ir al supermercado,Programa una cita para el chequeo anual,True,2023-11-14 18:52:25
275,Enviar correo a Juan,Revisar las últimas actualizaciones de Angular,True,2023-09-11 18:52:25
276,Revisar el coche,Leer al menos un capítulo del libro,False,2024-01-22 18:52:25
277,Enviar correo a Juan,Programa una cita para el chequeo anual,False,2024-05-16 18:52:25
278,Revisar el coche,Llevar el coche al taller para revisión,False,2023-06-14 18:52:25
279,Estudiar Angular,Revisar las últimas actualizaciones de Angular,False,2024-02-14 18:52:25
280,Limpiar la casa,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-07-29 18:52:25
281,Limpiar la casa,Leer al menos un capítulo del libro,True,2023-09-14 18:52:25
282,Ir al supermercado,Compra los artículos de la lista,False,2023-08-08 18:52:25
283,Revisar el coche,Enviar un correo electrónico sobre el proyecto,True,2023-08-16 18:52:25
284,Limpiar la casa,Revisar las últimas actualizaciones de Angular,True,2023-08-20 18:52:25
285,Limpiar la casa,Programa una cita para el chequeo anual,True,2023-06-20 18:52:25
286,Pagar las facturas,Llevar el coche al taller para revisión,True,2024-03-20 18:52:25
287,Hacer ejercicio,Leer al menos un capítulo del libro,False,2023-08-07 18:52:25
288,Pagar las facturas,"Limpiar la sala, cocina y baño",False,2024-06-05 18:52:25
289,Pagar las facturas,Compra los artículos de la lista,False,2024-01-27 18:52:25
290,Revisar el coche,Pagar las facturas de servicios públicos,True,2023-09-30 18:52:25
291,Limpiar la casa,Ir al gimnasio o hacer una rutina de ejercicios en casa,True,2024-01-07 18:52:25
292,Llamar al médico,Leer al menos un capítulo del libro,True,2023-11-05 18:52:25
293,Limpiar la casa,Leer al menos un capítulo del libro,True,2023-11-28 18:52:25
294,Enviar correo a Juan,Enviar un correo electrónico sobre el proyecto,False,2024-03-23 18:52:25
295,Pagar las facturas,"Limpiar la sala, cocina y baño",True,2024-02-20 18:52:25
296,Enviar correo a Juan,Preparar una cena saludable,True,2024-04-28 18:52:25
297,Hacer ejercicio,"Limpiar la sala, cocina y baño",True,2024-02-09 18:52:25
298,Cocinar la cena,Leer al menos un capítulo del libro,True,2024-04-04 18:52:25
299,Enviar correo a Juan,Leer al menos un capítulo del libro,True,2024-03-04 18:52:25
300,Enviar correo a Juan,Programa una cita para el chequeo anual,False,2023-09-05 18:52:25
301,Llamar al médico,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-09-26 18:52:25
302,Revisar el coche,Preparar una cena saludable,True,2023-10-04 18:52:25
303,Estudiar Angular,Pagar las facturas de servicios públicos,False,2023-07-24 18:52:25
304,Enviar correo a Juan,Llevar el coche al taller para revisión,False,2024-05-24 18:52:25
305,Revisar el coche,Leer al menos un capítulo del libro,True,2023-08-02 18:52:25
306,Revisar el coche,Enviar un correo electrónico sobre el proyecto,False,2023-07-24 18:52:25
307,Llamar al médico,Compra los artículos de la lista,True,2023-12-05 18:52:25
308,Llamar al médico,Revisar las últimas actualizaciones de Angular,True,2024-06-10 18:52:25
309,Pagar las facturas,Preparar una cena saludable,False,2023-06-27 18:52:25
310,Ir al supermercado,Programa una cita para el chequeo anual,True,2024-05-22 18:52:25
311,Revisar el coche,Leer al menos un capítulo del libro,False,2023-10-10 18:52:25
312,Revisar el coche,"Limpiar la sala, cocina y baño",True,2024-05-06 18:52:25
313,Pagar las facturas,Compra los artículos de la lista,True,2023-08-08 18:52:25
314,Hacer ejercicio,Leer al menos un capítulo del libro,False,2024-04-28 18:52:25
315,Llamar al médico,Leer al menos un capítulo del libro,True,2023-12-03 18:52:25
316,Llamar al médico,Pagar las facturas de servicios públicos,True,2023-06-18 18:52:25
317,Hacer ejercicio,Preparar una cena saludable,True,2024-02-16 18:52:25
318,Llamar al médico,Preparar una cena saludable,False,2024-05-15 18:52:25
319,Cocinar la cena,Ir al gimnasio o hacer una rutina de ejercicios en casa,False,2023-06-28 18:52:25
320,Leer un libro,Pagar las facturas de servicios públicos,False,2023-12-14 18:52:25
321,Pagar las facturas,Enviar un correo electrónico sobre el proyecto,False,2023-06-28 18:52:25
322,Estudiar Angular,Preparar una cena saludable,False,2023-11-12 18:52:25
323,Cocinar la cena,Llevar el coche al taller para revisión,True,2024-05-20 18:52:25
324,Revisar el coche,Preparar una cena saludable,False,2023-11-07 18:52:25
325,Revisar el coche,Preparar una cena saludable,True,2023-07-03 18:52:25
326,Estudiar Angular,Pagar las facturas de servicios públicos,True,2024-03-31 18:52:25
327,Cocinar la cena,Pagar las facturas de servicios públicos,False,2024-03-02 18:52:25
328,Leer un libro,"Limpiar la sala, cocina y baño",True,2023-12-18 18:52:25
